Kolumna,Unikalne wartości,Brakujące wartości,Proporcja klas
player_url,19239,0,"player_url
https://sofifa.com/player/264540/emanuel-lalchhanchhuaha/220002       0.000052
https://sofifa.com/player/158023/lionel-messi/220002                  0.000052
https://sofifa.com/player/188545/robert-lewandowski/220002            0.000052
https://sofifa.com/player/20801/c-ronaldo-dos-santos-aveiro/220002    0.000052
https://sofifa.com/player/190871/neymar-da-silva-santos-jr/220002     0.000052
                                                                        ...   
https://sofifa.com/player/165153/karim-benzema/220002                 0.000052
https://sofifa.com/player/215914/ngolo-kante/220002                   0.000052
https://sofifa.com/player/202126/harry-kane/220002                    0.000052
https://sofifa.com/player/192448/marc-andre-ter-stegen/220002         0.000052
https://sofifa.com/player/167495/manuel-neuer/220002                  0.000052
Name: proportion, Length: 19239, dtype: float64"
short_name,18145,0,"short_name
J. Rodríguez          0.000676
J. Hernández          0.000468
J. Brown              0.000416
Paulinho              0.000416
L. Rodríguez          0.000364
                        ...   
T. Courtois           0.000052
H. Son                0.000052
Casemiro              0.000052
V. van Dijk           0.000052
E. Lalchhanchhuaha    0.000052
Name: proportion, Length: 18145, dtype: float64"
long_name,19219,0,"long_name
Ladislav Krejčí                      0.000104
刘洋                                   0.000104
Pablo Martinez                       0.000104
Mamadou Fofana                       0.000104
Ibrahima Baldé                       0.000104
                                       ...   
Carlos Henrique Venancio Casimiro    0.000052
Virgil van Dijk                      0.000052
Sadio Mané                           0.000052
Mohamed Salah Ghaly                  0.000052
Neymar da Silva Santos Júnior        0.000052
Name: proportion, Length: 19219, dtype: float64"
player_positions,674,0,"player_positions
CB             0.125942
GK             0.110817
ST             0.092001
CDM, CM        0.049535
CM             0.037736
                 ...   
CAM, LW, LB    0.000052
RWB, CDM       0.000052
LWB, CAM       0.000052
RB, CAM        0.000052
LM, LW, LB     0.000052
Name: proportion, Length: 674, dtype: float64"
dob,6312,0,"dob
1992-02-29    0.006497
1996-02-29    0.006237
2000-02-29    0.004782
1988-02-29    0.001767
1999-02-25    0.000676
                ...   
2004-01-20    0.000052
2000-05-12    0.000052
2003-06-08    0.000052
2003-08-16    0.000052
2003-11-09    0.000052
Name: proportion, Length: 6312, dtype: float64"
club_name,701,61,"club_name
Real Betis Balompié                  0.001721
Everton                              0.001721
Borussia Mönchengladbach             0.001721
Arsenal                              0.001721
RC Celta de Vigo                     0.001721
                                       ...   
Clube Atlético Mineiro               0.001043
Associação Chapecoense de Futebol    0.001043
América de Cali                      0.001043
Harrogate Town                       0.000991
Wellington Phoenix                   0.000991
Name: proportion, Length: 701, dtype: float64"
league_name,55,61,"league_name
USA Major League Soccer                 0.040202
Argentina Primera División              0.037908
English League Championship             0.037387
English Premier League                  0.033997
Spain Primera Division                  0.033007
English League One                      0.032642
Spanish Segunda División                0.032589
English League Two                      0.031964
Japanese J. League Division 1           0.030712
French Ligue 1                          0.030087
Italian Serie A                         0.029357
German 1. Bundesliga                    0.028731
Turkish Süper Lig                       0.028314
German 3. Bundesliga                    0.028262
French Ligue 2                          0.027584
German 2. Bundesliga                    0.026593
Portuguese Liga ZON SAGRES              0.026332
Polish T-Mobile Ekstraklasa             0.025863
Holland Eredivisie                      0.025654
Mexican Liga MX                         0.025446
Belgian Jupiler Pro League              0.025446
Saudi Abdul L. Jameel League            0.024403
Chinese Super League                    0.023256
Romanian Liga I                         0.023047
Norwegian Eliteserien                   0.020909
Swedish Allsvenskan                     0.020492
Campeonato Brasileiro Série A           0.018772
Korean K League 1                       0.017520
Austrian Football Bundesliga            0.017207
Scottish Premiership                    0.016686
Danish Superliga                        0.016581
Indian Super League                     0.014548
Australian Hyundai A-League             0.014444
Swiss Super League                      0.014079
Rep. Ireland Airtricity League          0.013453
Colombian Liga Postobón                 0.009959
Liga de Fútbol Profesional Boliviano    0.009751
Paraguayan Primera División             0.009073
Ecuadorian Serie A                      0.008916
Peruvian Primera División               0.008499
Venezuelan Primera División             0.008395
Chilian Campeonato Nacional             0.008082
Uruguayan Primera División              0.006883
Italian Serie B                         0.006883
Greek Super League                      0.005840
Russian Premier League                  0.004276
Czech Republic Gambrinus Liga           0.004119
Ukrainian Premier League                0.002920
Croatian Prva HNL                       0.002920
South African Premier Division          0.002920
UAE Arabian Gulf League                 0.001460
Hungarian Nemzeti Bajnokság I           0.001460
Cypriot First Division                  0.001460
English National League                 0.001408
Finnish Veikkausliiga                   0.001304
Name: proportion, dtype: float64"
club_position,29,61,"club_position
SUB    0.432735
RES    0.165189
LCB    0.036552
RCB    0.036552
GK     0.036552
LB     0.026854
RB     0.026854
ST     0.024820
RCM    0.024507
LCM    0.024507
RM     0.021379
LM     0.021379
CAM    0.015226
RS     0.011628
RDM    0.011628
LS     0.011628
LDM    0.011628
CB     0.009699
LW     0.009646
RW     0.009646
CDM    0.008760
LWB    0.006049
RWB    0.006049
CM     0.004328
RF     0.001825
LF     0.001825
LAM    0.001095
RAM    0.001095
CF     0.000365
Name: proportion, dtype: float64"
club_loaned_from,334,18137,"club_loaned_from
Sporting CP             0.012704
Atalanta                0.012704
Manchester City         0.011797
Juventus                0.011797
Atlético de Madrid      0.011797
                          ...   
FC Goa                  0.000907
Al Taawoun              0.000907
Ettifaq FC              0.000907
Charlton Athletic       0.000907
Sporting Kansas City    0.000907
Name: proportion, Length: 334, dtype: float64"
club_joined,1845,1163,"club_joined
2021-07-01    0.070701
2019-07-01    0.044645
2018-07-01    0.025337
2020-07-01    0.023235
2017-07-01    0.016431
                ...   
2019-10-26    0.000055
2018-04-02    0.000055
2021-05-14    0.000055
2019-11-04    0.000055
2019-04-03    0.000055
Name: proportion, Length: 1845, dtype: float64"
nationality_name,163,0,"nationality_name
England      0.089350
Germany      0.063101
Spain        0.056448
France       0.050938
Argentina    0.049899
               ...   
Bhutan       0.000052
Gibraltar    0.000052
Barbados     0.000052
Estonia      0.000052
Indonesia    0.000052
Name: proportion, Length: 163, dtype: float64"
